Njesia admnistrative,QV,Zgjedhes,Meshkuj,Femra,Vendndodhja,Ambienti,ZAZ
Berat,3264,756,370,386,"Lagjia ""Kala"",Shkolla",Publik,64
Berat,3265,815,401,414,"Lagjia ""Mangalen"", Shkolla",Publik,64
Berat,3266,543,268,275,"Lagjia ""13 Shtatori"", Kopshti K. Leka",Publik,64
Berat,3267,830,405,425,"Lagjia ""13 Shtatori"", Kopshti K. Leka",Publik,64
Berat,3268,774,388,386,"Lagjia ""28 Nentori"", Ambulanca",Publik,64
Berat,32681,600,304,296,"Lagjia ""28 Nentori"", Ambulanca",Publik,64
Berat,3269,588,284,304,"Lagjia ""28 Nentori"", Poliambulanca",Publik,64
Berat,32691,416,202,214,"Lagjia ""28 Nentori"", Poliambulanca",Publik,64
Berat,3270,822,408,414,"Lagjia ""22 Tetori"", Pallati I Kultures",Publik,64
Berat,32701,568,267,301,"Lagjia ""22 Tetori"", Pallati I Kultures",Publik,64
Berat,3271,463,230,233,"Lagjia ""30 Vjetori"", Shkolla ""B.D. Karbunara""",Publik,64
Berat,3272,789,398,391,"Lagjia ""30 Vjetori"", Shkolla ""B.D. Karbunara"" Palestra",Publik,64
Berat,32721,638,311,327,"Lagjia ""30 Vjetori"", Shkolla ""B.D. Karbunara"" Palestra",Publik,64
Berat,3273,956,485,471,"Lagjia ""30 Vjetori"", Stadiumi ""Tomori""",Publik,64
Berat,32731,829,394,435,"Lagjia ""30 Vjetori"", Stadiumi ""Tomori""",Publik,64
Berat,32732,786,377,409,"Lagjia ""30 Vjetori"", Stadiumi ""Tomori""",Publik,64
Berat,3274,579,287,292,"Lagjia ""30 Vjetori"", Shkolla""1Maji""",Publik,64
Berat,32741,487,250,237,"Lagjia ""30 Vjetori"", Shkolla""1Maji""",Publik,64
Berat,3275,897,474,423,"Lagjia ""30 Vjetori"", Sigurimet Shoqerore",Publik,64
Berat,32751,648,331,317,"Lagjia ""30 Vjetori"", Sigurimet Shoqerore",Publik,64
Berat,3276,950,482,468,"Lagjia ""30 Vjetori"", Sigurimet Shoqerore K2",Publik,64
Berat,3279,960,492,468,"Lagjia ""10 Korriku"", Shkolla ""22 Tetori""",Publik,64
Berat,3280,508,244,264,"Lagjia ""10 Korriku"", Shkolla ""22 Tetori"" Kati 2",Publik,64
Berat,32801,459,229,230,"Lagjia ""10 Korriku"", Shkolla ""22 Tetori"" Kati 2",Publik,64
Berat,3281,612,313,299,"Lagjia ""J.Vruho"", Shkolla TH.Tani"" K1",Publik,64
Berat,32811,463,228,235,"Lagjia ""J.Vruho"", Shkolla TH.Tani"" K1",Publik,64
Berat,3282,600,302,298,"Lagjia ""J Vruho"", Shkolla ""K.Isak""",Publik,64
Berat,3283,558,283,275,"Lagjia ""J.Vruho"", Shkolla ""TH.Tani"" K3",Publik,64
Berat,3284,695,341,354,"Lagjia ""J.Vrusho"", Konvikti I pedagogjikes",Publik,64
Berat,32841,611,297,314,"Lagjia ""J.Vruho"", Konvikti I pedagogjikes",Publik,64
Berat,3285,813,395,418,"Lagjia ""Kushtrimi"", Shkolla ""K.Isak""",Publik,64
Berat,3286,800,396,404,"Lagjia ""Kushtrimi"", Shkolla ""Th.Tani""",Publik,64
Berat,3287,514,262,252,"Lagjia ""Kushtrimi"", Shkolla ""K.Isak""",Publik,64
Berat,32871,494,232,262,"Lagjia ""Kushtrimi"", Shkolla ""K.Isak""",Publik,64
Berat,3288,693,344,349,Drejtoria e Shendetit Publik,Publik,64
Berat,32881,574,290,284,Drejtoria e Shendetit Publik,Publik,64
Berat,3289,916,451,465,"Lagjia ""D.Kastrioti"", Shkolla ""Sh.Lakra""",Publik,64
Berat,3290,609,302,307,"Lagjia ""D.Kastrioti"", Shkolla ""Sh.Lakra""",Publik,64
Berat,32901,535,268,267,"Lagjia ""D.Kastrioti"", Shkolla ""Sh.Lakra""",Publik,64
Berat,3291,741,378,363,"Lagjia ""D.Kastrioti"", Shkolla ""Sh.Lakra""",Publik,64
Berat,32911,636,318,318,"Lagjia ""D.Kastrioti"", Shkolla ""Sh.Lakra""",Publik,64
Berat,3292,460,235,225,"Lagjia ""D.Kastrioti"", Shkolla ""Sh.Lakra""",Publik,64
Berat,3294,674,344,330,"Lagjia ""Uznove"", Shkolla",Publik,64
Berat,32941,696,370,326,"Lagjia ""Uznove"", Shkolla",Publik,64
Berat,3295,604,308,296,"Lagjia ""Uznove"", Shkolla",Publik,64
Berat,32951,575,299,276,"Lagjia ""Uznove"", Shkolla",Publik,64
Berat,3296,791,397,394,"Lagjia ""Uznove"", Shkolla",Publik,64
Berat,3297,743,387,356,"Lagjia ""Uznove"", Shkolla",Publik,64
Berat,32971,580,296,284,"Lagjia ""Uznove"", Shkolla",Publik,64
Berat,3298,465,236,229,"Lagjia ""Barrikadave"", Shkolla""Z.Toska""",Publik,64
Berat,3300,759,357,402,"Lagjia ""Deshmoret e Kombit', Shkolla '28 Nentori""",Publik,64
Berat,3301,985,488,497,"Lagjia ""Deshmoret e Kombit"", Shkolla ""S.Bandilli""",Publik,64
Berat,3302,951,476,475,"Lagjia ""Deshmoret e Kombit"", Shkolla ""S.Bandilli""",Publik,64
Berat,3303,526,258,268,"Lagjia ""Deshmoret e Kombit"", Shkolla ""S.Bandilli""",Publik,64
Berat,3304,556,279,277,"Lagjia ""Deshmoret e Kombit,Shkolla""Ajet Xhindole""",Publik,64
Berat,33041,450,223,227,"Lagjia ""Dëshmorët e Kombit, Shkolla ""Ajet Xhindole""",Publik,64
Berat,3305,953,478,475,"Lagjia ""Barrikadave"", Shkolla""Z.Toska""",Publik,64
Berat,33051,948,455,493,"Lagjia ""Barrikadave"", Shkolla""Z.Toska""",Publik,64
Berat,33052,949,465,484,"Lagjia ""Barrikadave"", Shkolla""Z.Toska""",Publik,64
Berat,3306,928,465,463,"Qendra Kulturore ""Margarita Tutulani""",Publik,64
